"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"84","Normal/Others","WS/MP18152/2024-2025/133687-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","Construction of MID DAY Meal Shed in Govt Primary school Gondara","22-Jul-2024","300000","02-Aug-2024"
"85","Normal/Others","WS/MP18152/2024-2025/133688-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","Construction of MID DAY Meal Shed in Govt Primary school Sedha Singhwala","22-Jul-2024","300000","02-Aug-2024"
"86","Normal/Others","WS/MP18152/2024-2025/133689-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","Construction of MID DAY Meal Shed in Govt Primary school Rauwala","22-Jul-2024","300000","02-Aug-2024"
"87","Normal/Others","WS/MP18152/2024-2025/133690-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","Construction of MID DAY Meal Shed in Govt Primary school Dal Singh Wala","22-Jul-2024","300000","02-Aug-2024"
"88","Normal/Others","WS/MP18152/2024-2025/133691-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","Construction of MID DAY Meal Shed in Govt Primary school Bajakhana (Bus adda)","22-Jul-2024","300000","02-Aug-2024"
"89","Normal/Others","WS/MP18152/2024-2025/133692-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","Construction of MID DAY Meal Shed in Govt Primary school Okandwala","22-Jul-2024","299155","02-Sep-2024"
"90","Normal/Others","WS/MP18152/2024-2025/133693-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","Construction of MID DAY Meal Shed in Govt Primary school Gumti Khurd","22-Jul-2024","300000","02-Aug-2024"
"91","Normal/Others","WS/MP18152/2024-2025/133694-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","Construction of MID DAY Meal Shed in Govt Primary school Pakka No.4","22-Jul-2024","300000","02-Aug-2024"
"92","Normal/Others","WS/MP18152/2024-2025/133695-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","Construction of Cycle Shed in Govt Primary school Lambwali","22-Jul-2024","197304","02-Sep-2024"
"93","Normal/Others","WS/MP18152/2024-2025/133696-Installing community drinking water plants","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","Installation of RO System and water cooler in Govt Primary school Pakka No.4","22-Jul-2024","84500","02-Aug-2024"
"94","Normal/Others","WS/MP18152/2024-2025/133697-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","Construction of Smart Classroom & Cycle Shed in Govt Primary school Machaki Mal Singh","22-Jul-2024","298940","02-Sep-2024"
"95","Normal/Others","WS/MP18152/2024-2025/133698-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","Installation of Two Interactive panel for Smart Class in Govt High school Dhimanwali","22-Jul-2024","250000","02-Sep-2024"
"96","Normal/Others","WS/MP18152/2024-2025/133699-Installing community drinking water plants","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","Installation of RO System and water cooler in Govt Primary school Dhilwan kalan","22-Jul-2024","84500","02-Sep-2024"
"97","Normal/Others","WS/MP18152/2024-2025/133700-Installing community drinking water plants","Punjab","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","Installation of RO System and water cooler in Govt Primary school Gurri Sangar","22-Jul-2024","100000","01-Jan-2025"
"98","Normal/Others","WS/MP18152/2024-2025/133701-Installing community drinking water plants","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","Installation of RO System and water cooler in Govt Primary school Bajakhana Main","22-Jul-2024","84500","02-Aug-2024"
"99","Normal/Others","WS/MP18152/2024-2025/133702-Installing community drinking water plants","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","Installation of RO System and water cooler in Govt Middle school Chahal","22-Jul-2024","84500","02-Sep-2024"
"100","Normal/Others","WS/MP18152/2024-2025/133703-Installing community drinking water plants","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","Installation of RO System and water cooler in Govt Primary school Dhudi","22-Jul-2024","84500","02-Aug-2024"
"101","Normal/Others","WS/MP577/2024-2025/133772-Providing drains and gutters for public drainage","Gujarat","Dahod(DISTRICT COLLECTOR DOHAD_IDA)","Jaswantsinh Sumanbhai Bhabhor","DAHOD(ST)","DUNGAR GAME KHAJURIYA FALIYA MA NAALA NU KAM","20-Jul-2024","225200","08-Jan-2025"
"102","Normal/Others","WS/MP577/2024-2025/133773-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Gujarat","Dahod(DISTRICT COLLECTOR DOHAD_IDA)","Jaswantsinh Sumanbhai Bhabhor","DAHOD(ST)","DUNGAR GAME VALAY NADI PAR SANRAKSHAN DIVAL NU KAM","20-Jul-2024","328900","08-Jan-2025"
"103","Normal/Others","WS/MP577/2024-2025/133774-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","Dahod(DISTRICT COLLECTOR DOHAD_IDA)","Jaswantsinh Sumanbhai Bhabhor","DAHOD(ST)","DUNGAR GAME KADECHHA FALIYA MA MUKHY RASTA THI VINODBHAI VALABHAINA GHAR SUDHI R.C.C ROAD NU KAM","20-Jul-2024","288400","08-Jan-2025"
"104","Normal/Others","WS/MP577/2024-2025/133775-Construction of public irrigation facilities","Gujarat","Dahod(DISTRICT COLLECTOR DOHAD_IDA)","Jaswantsinh Sumanbhai Bhabhor","DAHOD(ST)","DUNGAR GAME KUND FALIYA MA SAMUHIK KUVA NU KAM","20-Jul-2024","292600","08-Jan-2025"
"105","Normal/Others","WS/MP577/2024-2025/133776-Construction of public irrigation facilities","Gujarat","Dahod(DISTRICT COLLECTOR DOHAD_IDA)","Jaswantsinh Sumanbhai Bhabhor","DAHOD(ST)","DUNGAR GAME NARANBHAI NA FALIYA MA SAMUHIK KUVA NU KAM","20-Jul-2024","289800","08-Jan-2025"
"106","Normal/Others","WS/MP641/2024-2025/133904-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Madhya Pradesh","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gajendra Singh Patel","KHARGONE(ST)","Construction of flood control embankments in village Makadkheda (Narmada River)","22-Jul-2024","1000000","21-Jan-2025"
"107","Normal/Others","WS/MP641/2024-2025/133905-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gajendra Singh Patel","KHARGONE(ST)","Construction of common work shed in village Bhopada at Salakhedi Road","22-Jul-2024","250000","05-Jan-2025"
"108","Normal/Others","WS/MP641/2024-2025/133906-Construction of community centers and community halls","Madhya Pradesh","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gajendra Singh Patel","KHARGONE(ST)","Construction of community hall in village Oon Bujurga at behind Bholaram farm","22-Jul-2024","500000","05-Jan-2025"
"109","Normal/Others","WS/MP641/2024-2025/133909-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","KHARGONE(ST)","Construction of common work shed in village Ranipura (Morani Panchayat) at near old Hanuman Mandir","22-Jul-2024","250000","22-Oct-2024"
"110","Normal/Others","WS/MP641/2024-2025/133910-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","KHARGONE(ST)","Construction of common work shed in village Chervi at near samadhi of Toranmal incident","22-Jul-2024","200000","25-Oct-2024"
"111","Normal/Others","WS/MP641/2024-2025/133911-Construction of community centers and community halls","Madhya Pradesh","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","KHARGONE(ST)","Construction of community hall in village Rosar","22-Jul-2024","500000","21-Oct-2024"
"112","Normal/Others","WS/MP641/2024-2025/133912-Construction of community centers and community halls","Madhya Pradesh","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","KHARGONE(ST)","Construction of community hall in village Bakwadi at near Damodar sahu farm","22-Jul-2024","1000000","22-Oct-2024"
"113","Normal/Others","WS/MP641/2024-2025/133913-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","KHARGONE(ST)","Construction of common work shed in village Barda at near ShriRam Mandir","22-Jul-2024","500000","27-Mar-2025"
"114","Normal/Others","WS/MP641/2024-2025/133919-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","KHARGONE(ST)","Construction of common work shed in Anjad at ward no 04 at near Khatu Shyam Mandir","22-Jul-2024","200000","18-Dec-2024"
"115","Normal/Others","WS/MP641/2025-2026/133920-Construction of community centers and community halls","Madhya Pradesh","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","KHARGONE(ST)","Construction of community hall in Anjad at ward no 01 Dashahara Maidan Kshtriya Rathod Dharmshala","22-Jul-2024","500000","12-May-2025"
"116","Normal/Others","WS/MP641/2025-2026/133921-Construction of community centers and community halls","Madhya Pradesh","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","KHARGONE(ST)","Construction of community hall in Palsud at ward no 04 Sai Mandir Road behind Rameshwar gole house","22-Jul-2024","500000","05-May-2025"
"117","Normal/Others","WS/MP641/2024-2025/133929-Construction of additional rooms and halls in the existing public and community building","Madhya Pradesh","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","KHARGONE(ST)","Construction of additional room in the existing public building in village Barda at Koli Mohalla","22-Jul-2024","200000","27-Mar-2025"
"118","Normal/Others","WS/MP423/2024-2025/133940-Construction of bus-sheds or bus-stops","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Ramprit Mandal","JHANJHARPUR","khajauli hospital chowk ke pass Pre Fabricated  bus sheds ka kray and instolation work.","23-Jul-2024","1451000","21-Feb-2025"
"119","Normal/Others","WS/MP423/2024-2025/133941-Construction of bus-sheds or bus-stops","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Ramprit Mandal","JHANJHARPUR","Basopatti babhan dey chowk ke pass  Pre Fabricated  bus sheds ka kray and instolation work.","23-Jul-2024","1451000","21-Feb-2025"
"120","Normal/Others","WS/MP423/2024-2025/133944-Construction of bus-sheds or bus-stops","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Ramprit Mandal","JHANJHARPUR","paduma chowk ke pass Pre Fabricated  bus sheds ka kray and instolation work.","23-Jul-2024","1451000","21-Feb-2025"
"121","Normal/Others","WS/MP423/2024-2025/133945-Construction of bus-sheds or bus-stops","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Ramprit Mandal","JHANJHARPUR","ranti chowk ke pass Pre Fabricated  bus sheds ka kray and instolation work.","23-Jul-2024","1451000","21-Feb-2025"
"122","Normal/Others","WS/MP423/2024-2025/133946-Construction of bus-sheds or bus-stops","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Ramprit Mandal","JHANJHARPUR","andhra bazar chowk ke pass Pre Fabricated  bus sheds ka kray and instolation work.","23-Jul-2024","1451000","21-Feb-2025"
"123","Normal/Others","WS/MP423/2024-2025/133947-Street lights","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Ramprit Mandal","JHANJHARPUR","Babunarhi prakhand ke antargat bhatchoura gram sthith sarvjanik mandir ke najdik high mask light ka adhisthapan karya","23-Jul-2024","994000","12-Mar-2025"
"124","Normal/Others","WS/MP423/2024-2025/133949-Construction of bus-sheds or bus-stops","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Ramprit Mandal","JHANJHARPUR","madhepur thana chowk ke pass  Pre Fabricated  bus sheds ka kray and instolation work.","23-Jul-2024","1451000","21-Feb-2025"
"125","Normal/Others","WS/MP423/2024-2025/133955-Construction of bus-sheds or bus-stops","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Ramprit Mandal","JHANJHARPUR","bhupatti ges goudam chowk  ke pass bus Pre Fabricated  bus sheds ka kray and instolation work.","23-Jul-2024","1451000","21-Feb-2025"
"126","Normal/Others","WS/MP423/2024-2025/133959-Construction of bus-sheds or bus-stops","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Ramprit Mandal","JHANJHARPUR","paitghat chowk mandir  ke pass NH ke bagal men Pre Fabricated  bus sheds ka kray and instolation work.","23-Jul-2024","1451000","21-Feb-2025"
"127","Normal/Others","WS/MP423/2024-2025/133960-Construction of bus-sheds or bus-stops","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Ramprit Mandal","JHANJHARPUR","arariya sangram mithila hat najdik NH ke bagal me Pre Fabricated  bus sheds ka kray and instolation work.","23-Jul-2024","1451000","21-Feb-2025"
"128","Normal/Others","WS/MP423/2024-2025/133961-Construction of rainwater harvesting structures","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Ramprit Mandal","JHANJHARPUR","Utkarmit Uchhy VidyalayChandan Kasera block basopatti men 2 set lab upkaran ka kray evam adhisthapan karya","23-Jul-2024","1096000","20-Aug-2024"
"129","Normal/Others","WS/MP423/2024-2025/133962-Construction of rainwater harvesting structures","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Ramprit Mandal","JHANJHARPUR","Uchh Madhymik vidyalay Narkatiya block Bassopatti  men 2 set lab upkaran ka kray evam adhisthapan karya","23-Jul-2024","1096000","20-Aug-2024"
"130","Normal/Others","WS/MP423/2024-2025/133963-Construction of rainwater harvesting structures","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Ramprit Mandal","JHANJHARPUR","utkarmit uchya madhyamik vidyalay  Durgipatti block KHutauna men  2 set lab upkaran ka kray evam adhisthapan karya","23-Jul-2024","1096000","20-Aug-2024"
"131","Normal/Others","WS/MP423/2024-2025/133964-Construction of bus-sheds or bus-stops","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Ramprit Mandal","JHANJHARPUR","chharapatti nahar chowk ke pass Pre Fabricated bus sheds ka kray and instolation work.","23-Jul-2024","1451000","21-Feb-2025"
"132","Normal/Others","WS/MP423/2024-2025/133965-Construction of rainwater harvesting structures","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Ramprit Mandal","JHANJHARPUR","U.U.M. School Chhatauni block basopatti men  2 set lab upkaran ka kray evam adhisthapan karya","23-Jul-2024","1096000","20-Aug-2024"
"133","Normal/Others","WS/MP423/2024-2025/133966-Construction of rainwater harvesting structures","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Ramprit Mandal","JHANJHARPUR","Rajkitkrit +2 Uchh vidyalay Lauthwa block basopatti  men 2 set lab upkaran ka kray evam adhisthapan karya","23-Jul-2024","1096000","20-Aug-2024"
"134","Normal/Others","WS/MP423/2024-2025/133967-Construction of rainwater harvesting structures","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Ramprit Mandal","JHANJHARPUR","utkarmit madhyamik uchh vidyalay Kauyaha block Bassopatti men 2 set lab upkaran kakray evam adhisthapan karya","23-Jul-2024","1096000","20-Aug-2024"
"135","Normal/Others","WS/MP423/2024-2025/133968-Construction of rainwater harvesting structures","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Ramprit Mandal","JHANJHARPUR","utkarmit uchya vidyalay Dhamiyanpatti blockJaynagar men 2 set lab upkaran ka kray evam adhisthapan karya","23-Jul-2024","1096000","20-Aug-2024"
"136","Normal/Others","WS/MP423/2024-2025/133969-Construction of rainwater harvesting structures","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Ramprit Mandal","JHANJHARPUR","Utkarmit uchhy Madhyamik Vidyalay fentPatauna block basopatti men 2 set lab upkaran ka kray evam adhisthapan karya","23-Jul-2024","1096000","20-Aug-2024"
"137","Normal/Others","WS/MP423/2024-2025/133970-Construction of rainwater harvesting structures","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Ramprit Mandal","JHANJHARPUR","Kabir uchya madhyamik (+2) vidyalay selra block Jaynagar men  2 set lab upkaran ka kray evam adhisthapan karya","23-Jul-2024","1096000","20-Aug-2024"
"138","Normal/Others","WS/MP423/2024-2025/133971-Installing community drinking water plants","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Ramprit Mandal","JHANJHARPUR","khutona samudayik sawasthya kendra men Samarsebal pump ka nirman karya","23-Jul-2024","239686","30-Oct-2024"
"139","Normal/Others","WS/MP423/2024-2025/133973-Street lights","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Ramprit Mandal","JHANJHARPUR","Ladaniya block ke antargat gajhara gram sthith durga mata mandir bhraman tol ke najdik high mask electric light ka kray evam adhisthapan karya. (Attached Takniki Vishistiyan ke Anurup)","23-Jul-2024","994000","12-Mar-2025"
"140","Normal/Others","WS/MP423/2024-2025/133975-Street lights","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Ramprit Mandal","JHANJHARPUR","khajouli block ke antargat sukki pul ke najdik high mask electric light ka kray evam adhisthapan karya. (Attached Takniki Vishistiyan ke Anurup)","23-Jul-2024","994000","12-Mar-2025"
